# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
0.00000000,-39.21853800,26.43659500,-2.85742182,0.22443879,1.58237400,1.58237400
0.10008062,-39.31469413,26.40851015,-2.83495984,0.31338063,1.58237400,1.58237400
0.20016124,-39.40931182,26.37619242,-2.79469516,0.35466444,1.58237400,1.58237400
0.30024185,-39.50275921,26.34052151,-2.76396977,0.25902552,1.58237400,1.58237400
0.40032247,-39.59540445,26.30237711,-2.74284829,0.16529028,1.58237400,1.58237400
0.50040309,-39.68761567,26.26263891,-2.73088507,0.10065372,1.58237400,1.58237400
0.60048371,-39.77971707,26.22211399,-2.72270132,0.10353600,1.58237400,1.58237400
0.70056433,-39.87151766,26.18075776,-2.71016117,0.16371835,1.58237400,1.58237400
0.80064495,-39.96249200,26.13797269,-2.68993125,0.24167872,1.58237400,1.58237400
0.90072556,-40.05210893,26.09315189,-2.66178646,0.32184360,1.58237400,1.58237400
1.00080618,-40.13983732,26.04568847,-2.62551064,0.39797547,1.58237400,1.58237400
1.10088680,-40.22514611,25.99497560,-2.58212720,0.44357365,1.58237400,1.58237400
1.20096742,-40.30766421,25.94059441,-2.53672439,0.43947116,1.58237400,1.58237400
1.30104804,-40.38752676,25.88272064,-2.49416211,0.40629158,1.58237400,1.58237400
1.40112866,-40.46496874,25.82164734,-2.45540057,0.36775130,1.58237400,1.58237400
1.50120927,-40.54022518,25.75766760,-2.42055255,0.32839691,1.58237400,1.58237400
1.60128989,-40.61353107,25.69107446,-2.38966823,0.28877619,1.58237400,1.58237400
1.70137051,-40.68512142,25.62216100,-2.36275075,0.24928583,1.58237400,1.58237400
1.80145113,-40.75523123,25.55122027,-2.33977087,0.21018516,1.58237400,1.58237400
1.90153175,-40.82409550,25.47854535,-2.32067983,0.17161602,1.58237400,1.58237400
2.00161236,-40.89194925,25.40442930,-2.30542000,0.13362488,1.58237400,1.58237400
2.10169298,-40.95902746,25.32916517,-2.29393331,0.09618450,1.58237400,1.58237400
2.20177360,-41.02556515,25.25304604,-2.28616759,0.05921372,1.58237400,1.58237400
2.30185422,-41.09179732,25.17636497,-2.28208102,0.02259510,1.58237400,1.58237400
